Date,Open,High,Low,Close,Adj_Close,Volume
7/2/2020,141.25,141.839996,140.330002,140.970001,139.071579,5152200
7/6/2020,142.169998,143.770004,141.880005,142.979996,141.054504,6156400
7/7/2020,141.389999,143.970001,141.229996,142.850006,140.926254,5622600
7/8/2020,142.869995,143.389999,141.699997,143.270004,141.340607,6257400
7/9/2020,142.759995,144.429993,140.580002,142.490005,140.571106,5738600
7/10/2020,142.75,142.869995,141.429993,142.369995,140.452713,4282400
7/13/2020,143.610001,146.639999,143.279999,145.210007,143.254486,6951900
7/14/2020,145.320007,148.389999,145.259995,147.919998,145.927979,7447100
7/15/2020,149.729996,150.210007,148.229996,148.259995,146.263397,8512800
7/16/2020,148.679993,149.339996,146.679993,149.25,147.240067,9304700
7/17/2020,150,150.580002,148.690002,149.350006,147.33873,7441100
7/20/2020,150.229996,150.320007,148.429993,149.600006,147.585373,6191500
7/21/2020,149.600006,151.669998,149.5,149.740005,147.72348,5579700
7/22/2020,149.929993,150.410004,147.850006,150.009995,147.989838,5910200
7/23/2020,150.210007,150.850006,149.279999,149.610001,147.595215,6566300
7/24/2020,150.5,150.600006,147.029999,148.119995,146.12529,5405900
7/27/2020,147.369995,148.919998,146.860001,147.179993,145.197937,5675200
7/28/2020,147.399994,147.990005,146.75,146.830002,144.852661,4842200
7/29/2020,146.389999,147.470001,146.070007,146.539993,144.566559,4489100
7/30/2020,147.440002,147.5,146.139999,146.839996,144.862534,5922500
7/31/2020,146.660004,147.449997,143.960007,145.759995,143.797073,8259600
8/3/2020,146.389999,147.789993,146.149994,147.350006,145.365677,4078700
8/4/2020,146.990005,147.220001,145.820007,147.220001,145.237411,4162200
8/5/2020,149.100006,149.309998,147.800003,148.399994,146.40152,5493200
8/6/2020,148.399994,149.25,146.5,147.550003,145.562973,4837900
8/7/2020,147.509995,148.649994,147.149994,148.600006,146.598831,3635100
8/10/2020,148.860001,149.009995,147.720001,148.029999,146.036499,4096600
8/11/2020,149.139999,149.229996,146.369995,146.970001,144.990768,6388400
8/12/2020,147.539993,150.240005,147.490005,149.660004,147.644562,5258100
8/13/2020,148.539993,149.190002,147.529999,148,146.006912,5155500
8/14/2020,147.610001,149.339996,147.580002,148.240005,146.243683,4240200
8/17/2020,148.320007,150.229996,148.229996,148.990005,146.983582,4306900
8/18/2020,149.259995,150.100006,148.570007,150.089996,148.068756,4322600
8/19/2020,149.580002,151.580002,149.320007,150.389999,148.364716,7816300
8/20/2020,149.75,151.580002,149.550003,151.419998,149.380844,4874700
